,start,end,from_cty,to_cty,from_country,from_country_code,to_country,to_country_code,value,source,target,color,label,from_country_latlng,to_country_latlng,from_country_cca3,to_country_cca3
11350,11:00,12:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11351,11:00,12:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,561.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11352,12:00,13:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11353,12:00,13:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,530.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11354,13:00,14:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11355,13:00,14:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,514.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11356,14:00,15:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11357,14:00,15:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,492.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11358,15:00,16:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11359,15:00,16:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,463.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11360,16:00,17:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11361,16:00,17:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,438.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11362,17:00,18:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11363,17:00,18:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,462.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11364,18:00,19:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11365,18:00,19:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,476.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11366,19:00,20:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11367,19:00,20:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,509.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11368,20:00,21:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11369,20:00,21:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,531.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11370,21:00,22:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11371,21:00,22:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,560.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11372,22:00,23:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11373,22:00,23:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,556.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11374,23:00,00:00,Hungary (HU),Ukraine (UA),Hungary ,HU,Ukraine ,UA,0.0,10,17,"rgba(127, 127, 127, 0.8)",,"[47, 20]","[49, 32]",HUN,UKR
11375,23:00,00:00,Ukraine (UA),Hungary (HU),Ukraine ,UA,Hungary ,HU,518.0,17,10,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 20]",UKR,HUN
11376,00:00,01:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,77.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11377,00:00,01:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11378,01:00,02:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,68.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11379,01:00,02:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11380,02:00,03:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,8.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11381,02:00,03:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11382,03:00,04:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,72.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11383,03:00,04:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11384,04:00,05:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,80.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11385,04:00,05:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11386,05:00,06:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11387,05:00,06:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,43.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11388,06:00,07:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11389,06:00,07:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,41.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11390,07:00,08:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,18.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11391,07:00,08:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,0.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
11392,08:00,09:00,Moldova (MD),Ukraine (UA),Moldova ,MD,Ukraine ,UA,0.0,41,17,"rgba(127, 127, 127, 0.8)",,"[47, 29]","[49, 32]",MDA,UKR
11393,08:00,09:00,Ukraine (UA),Moldova (MD),Ukraine ,UA,Moldova ,MD,38.0,17,41,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[47, 29]",UKR,MDA
