,start,end,from_cty,to_cty,from_country,from_country_code,to_country,to_country_code,value,source,target,color,label,from_country_latlng,to_country_latlng,from_country_cca3,to_country_cca3
11455,15:00,16:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,142.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11456,16:00,17:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11457,16:00,17:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,144.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11458,17:00,18:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11459,17:00,18:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,136.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11460,18:00,19:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11461,18:00,19:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,139.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11462,19:00,20:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11463,19:00,20:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,140.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11464,20:00,21:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11465,20:00,21:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,143.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11466,21:00,22:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11467,21:00,22:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,145.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11468,22:00,23:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11469,22:00,23:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,143.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11470,23:00,00:00,Poland (PL),Ukraine (UA),Poland ,PL,Ukraine ,UA,0.0,29,17,"rgba(127, 127, 127, 0.8)",,"[52, 20]","[49, 32]",POL,UKR
11471,23:00,00:00,Ukraine (UA),Poland (PL),Ukraine ,UA,Poland ,PL,142.0,17,29,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[52, 20]",UKR,POL
11472,00:00,01:00,Romania (RO),Ukraine (UA),Romania ,RO,Ukraine ,UA,0.0,27,17,"rgba(127, 127, 127, 0.8)",,"[46, 25]","[49, 32]",ROU,UKR
11473,00:00,01:00,Ukraine (UA),Romania (RO),Ukraine ,UA,Romania ,RO,131.0,17,27,"rgba(127, 127, 127, 0.8)",,"[49, 32]","[46, 25]",UKR,ROU
